Year,Month,Day,Country,Province,Region,city,latitude,longitude,AttackType,Killed,Wounded,Target,Group,Target_type,Weapon_type,Casualties,Date
2006,3,10,Pakistan,Balochistan,South Asia,Dera Bugti,29.034412,69.158661,Bombing/Explosion,28,7,Pakistani Civilians,Unknown,Private Citizens & Property,Explosives,35,2006-10-03
2006,3,15,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Bombing/Explosion,0,13,Unknown,Unknown,Business,Explosives,13,
2006,3,16,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Bombing/Explosion,0,14,Unknown,Unknown,Private Citizens & Property,Explosives,14,
2006,3,17,Pakistan,Balochistan,South Asia,Mach,29.855375,67.339928,Bombing/Explosion,0,4,Unknown,Unknown,Business,Explosives,4,
2006,3,19,Pakistan,North-West Frontier Province,South Asia,Dera Ismail Khan,31.834328,70.90905,Bombing/Explosion,7,4,Unknown,Unknown,Police,Explosives,11,
2006,3,23,Pakistan,Balochistan,South Asia,Kohlu,29.673863,68.715498,Bombing/Explosion,1,9,Unknown,Baloch Nationalists,Business,Explosives,10,
2006,4,2,Pakistan,Balochistan,South Asia,Bolan District,29.10636,67.687177,Bombing/Explosion,8,2,Pakistan Petroleum Limited,Baloch Liberation Army (BLA),Utilities,Explosives,10,2006-02-04
2006,4,2,Pakistan,North-West Frontier Province,South Asia,Dera Ismail Khan,31.834328,70.90905,Armed Assault,0,2,Shrine of Sufi saint in Dera Ismail Khan,Unknown,Religious Figures/Institutions,Firearms,2,2006-02-04
2006,4,2,Pakistan,Balochistan,South Asia,Kohlu,29.673863,68.715498,Bombing/Explosion,3,0,Civilians at state-run farm at Kohlu,Unknown,Government (General),Explosives,3,2006-02-04
2006,4,2,Pakistan,Sindh,South Asia,Nasirabad,27.379999,67.915103,Bombing/Explosion,1,2,Residents of Nasirabad (District),Unknown,Private Citizens & Property,Explosives,3,2006-02-04
2006,4,2,Pakistan,Balochistan,South Asia,Jaffarabad district,28.340071,68.188997,Bombing/Explosion,1,0,Sohbat area of Jaffarabad,Unknown,Private Citizens & Property,Explosives,1,2006-02-04
2006,4,3,Pakistan,Federally Administered Tribal Areas,South Asia,North Waziristan district,32.94756,70.012672,Bombing/Explosion,5,3,Passenger pick-up truck in Baigan village,Unknown,Private Citizens & Property,Explosives,8,2006-03-04
2006,4,3,Pakistan,Federally Administered Tribal Areas,South Asia,Miran Shah,33.006516,70.068253,Bombing/Explosion,5,3,A minibus in Data Khel village in North Waziristan,Unknown,Transportation,Explosives,8,2006-03-04
2006,4,3,Pakistan,Federally Administered Tribal Areas,South Asia,Datta Khel,32.901089,69.749405,Bombing/Explosion,0,0,Truck coming from Afghanistan,Unknown,Private Citizens & Property,Explosives,0,2006-03-04
2006,4,3,Pakistan,Balochistan,South Asia,Dera Bugti,29.034412,69.158661,Bombing/Explosion,0,2,Tractor near Dera Bugti,Unknown,Private Citizens & Property,Explosives,2,2006-03-04
2006,4,3,Pakistan,North-West Frontier Province,South Asia,Tank district,32.214179,70.38468,Armed Assault,0,1,Bhittani tribesmen at a wedding ceremony,Taliban (Pakistan),Private Citizens & Property,Firearms,1,2006-03-04
2006,4,3,Pakistan,Federally Administered Tribal Areas,South Asia,Jandola,32.333344,70.128281,Bombing/Explosion,4,0,"Azam Khan, local tribesman of the Tank area",Unknown,Private Citizens & Property,Explosives,4,2006-03-04
2006,4,6,Pakistan,Balochistan,South Asia,Wadh,27.342552,66.36792,Bombing/Explosion,0,0,Agriculture Development Bank of Pakistan,Unknown,Government (General),Explosives,0,2006-06-04
2006,4,10,Pakistan,Balochistan,South Asia,Kohlu,29.673863,68.715498,Bombing/Explosion,3,20,Barber shop in Kohlu,Unknown,Business,Explosives,23,2006-10-04
2006,4,10,Pakistan,Balochistan,South Asia,Nushki,29.552311,66.020508,Bombing/Explosion,0,0,Rail tracks near Nushki on the Quetta-Zahidan sector,Unknown,Transportation,Explosives,0,2006-10-04
2006,4,10,Pakistan,Balochistan,South Asia,Dera Bugti,29.034412,69.158661,Armed Assault,0,1,Passenger van in Pesh Bogi area,Tribesmen,Transportation,Firearms,1,2006-10-04
2006,4,10,Pakistan,Balochistan,South Asia,Pir Koh,29.143866,69.099785,Bombing/Explosion,0,0,Gas field in Pir Koh,Unknown,Utilities,Explosives,0,2006-10-04
2006,4,12,Pakistan,Federally Administered Tribal Areas,South Asia,Mir Ali,32.975433,70.273735,Assassination,0,0,"Tribal elder, Malik Mir Sharaf",Unknown,Private Citizens & Property,Firearms,0,2006-12-04
2006,4,13,Pakistan,Federally Administered Tribal Areas,South Asia,Wana,32.306099,69.579956,Armed Assault,2,0,Tribal elder from Ahmadzai Wazir Tribe,Unknown,Private Citizens & Property,Firearms,2,
2006,4,19,Pakistan,Federally Administered Tribal Areas,South Asia,Spin Wam,33.172958,70.401826,Bombing/Explosion,0,5,Paramilitary soldiers in Pakistan's North Waziristan.,Taliban (Pakistan),Military,Explosives,5,
2006,5,1,Pakistan,Federally Administered Tribal Areas,South Asia,Miran Shah,33.006516,70.068253,Hostage Taking (Kidnapping),1,0,Janat Mir,Taliban (Pakistan),Private Citizens & Property,Firearms,1,2006-01-05
2006,5,1,Pakistan,North-West Frontier Province,South Asia,Bannu,32.987347,70.602524,Armed Assault,1,4,Mir Mohammed Khan Durrani,Unknown,Government (General),Firearms,5,2006-01-05
2006,5,14,Pakistan,Balochistan,South Asia,Dera Murad Jamali,28.54439,68.218002,Hostage Taking (Kidnapping),1,0,Pakistani government official,Baloch Liberation Army (BLA),Government (General),Melee,1,
2006,5,17,Pakistan,Federally Administered Tribal Areas,South Asia,Khar,34.733517,71.519661,Bombing/Explosion,0,3,government official in Bajaur tribal district.,Unknown,Government (General),Explosives,3,
2006,5,21,Pakistan,Balochistan,South Asia,Hub,25.044537,66.874672,Bombing/Explosion,0,8,Pakistani police forces in Hub,Unknown,Police,Explosives,8,
2006,5,28,Pakistan,Federally Administered Tribal Areas,South Asia,Datta Khel,32.901089,69.749405,Bombing/Explosion,3,3,Pakistan Police/Military Forces in North Waziristan,Unknown,Military,Explosives,6,
2006,5,29,Pakistan,Balochistan,South Asia,Dera Bugti district,29.033858,69.139225,Bombing/Explosion,0,0,Gas pipeline to a Sui plant,Unknown,Business,Explosives,0,
2006,5,30,Pakistan,Balochistan,South Asia,Mach,29.855375,67.339928,Bombing/Explosion,1,5,Balochistan province civilians; house of this family,Unknown,Private Citizens & Property,Explosives,6,
2006,6,2,Pakistan,Federally Administered Tribal Areas,South Asia,North Waziristan district,32.926684,69.920086,Bombing/Explosion,4,8,Pakistani military vehicles,Unknown,Military,Explosives,12,2006-02-06
2006,6,12,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Bombing/Explosion,5,17,Unknown,Unknown,Private Citizens & Property,Explosives,22,2006-12-06
2006,6,22,Pakistan,North-West Frontier Province,South Asia,Bannu,32.987347,70.602524,Armed Assault,3,0,Police,Taliban (Pakistan),Police,Firearms,3,
2006,7,3,Pakistan,North-West Frontier Province,South Asia,Timergara,34.830162,71.842781,Bombing/Explosion,5,7,Pakistani paramilitary vehicle,Unknown,Military,Explosives,12,2006-03-07
2006,7,4,Pakistan,Balochistan,South Asia,Bolan District,29.422853,67.603941,Bombing/Explosion,0,2,Pakistani security post in Balochistan's Mach (District),Unknown,Military,Explosives,2,2006-04-07
2006,8,5,Pakistan,Federally Administered Tribal Areas,South Asia,Khyber district,33.908578,71.070055,Bombing/Explosion,0,0,"Da Khwendo Kor, or sisters' home - an education centre run by a civil society organisation",Unknown,Educational Institution,Explosives,0,2006-05-08
2006,8,29,Pakistan,Balochistan,South Asia,Hub,25.044537,66.874672,Bombing/Explosion,4,6,Unknown,Unknown,Tourists,Explosives,10,
2006,9,14,Pakistan,North-West Frontier Province,South Asia,Dera Ismail Khan,31.834328,70.90905,Armed Assault,1,0,Unknown,Unknown,Journalists & Media,Firearms,1,
2006,9,19,Pakistan,Federally Administered Tribal Areas,South Asia,Bajaur district,34.856902,71.429936,Bombing/Explosion,0,4,Aid Workers,Unknown,NGO,Explosives,4,
2006,9,28,Pakistan,Federally Administered Tribal Areas,South Asia,Khar,34.733517,71.519661,Bombing/Explosion,0,0,Nawagai Tehsildar Yar Muhammad Khan,Unknown,Government (General),Explosives,0,
2006,10,14,Pakistan,Balochistan,South Asia,Khuzdar district,27.81872,66.659656,Armed Assault,6,0,A mosque,Unknown,Religious Figures/Institutions,Firearms,6,
2006,10,20,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,7,41,Unknown,Unknown,Private Citizens & Property,Explosives,48,
2006,11,13,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Bombing/Explosion,2,15,Civilans at the Quetta Market,Baloch Liberation Army (BLA),Private Citizens & Property,Explosives,17,
2006,11,19,Pakistan,Federally Administered Tribal Areas,South Asia,North Waziristan district,32.874079,70.027089,Assassination,1,0,Islamic School Teacher,Unknown,Educational Institution,Melee,1,
2006,12,3,Pakistan,Balochistan,South Asia,Nushki,29.551957,66.019326,Bombing/Explosion,1,3,Unknown,Unknown,Utilities,Explosives,4,2006-03-12
2006,12,21,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Bombing/Explosion,0,10,Unknown,Unknown,Police,Explosives,10,
2007,1,9,Pakistan,North-West Frontier Province,South Asia,Nowshera,34.007206,71.983078,Bombing/Explosion,0,5,Qazi Hussain Ahmed,Unknown,Private Citizens & Property,Explosives,5,2007-09-01
2007,1,9,Pakistan,Balochistan,South Asia,Loralai,30.338451,68.572059,Armed Assault,2,10,Pakistani soldiers in a military convoy,Unknown,Military,Firearms,12,2007-09-01
2007,1,21,Pakistan,North-West Frontier Province,South Asia,Tank district,32.214179,70.38468,Bombing/Explosion,0,2,Pakistani police traveling in the FATA region,Unknown,Police,Explosives,2,
2007,1,25,Pakistan,North-West Frontier Province,South Asia,Hangu,33.528893,71.056122,Bombing/Explosion,2,4,Shi i civilians,Unknown,Private Citizens & Property,Explosives,6,
2007,1,26,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,2,3,Civilians near the incident,Unknown,Business,Explosives,5,
2007,1,29,Pakistan,North-West Frontier Province,South Asia,Dera Ismail Khan,31.834328,70.90905,Bombing/Explosion,3,7,Pakistani police,Unknown,Police,Explosives,10,
2007,1,30,Pakistan,North-West Frontier Province,South Asia,Hangu,33.528893,71.056122,Bombing/Explosion,2,19,Shi i civilians,Unknown,Private Citizens & Property,Explosives,21,
2007,2,1,Pakistan,Federally Administered Tribal Areas,South Asia,Mir Ali,32.975433,70.273735,Armed Assault,3,2,Tribal Leaders,Unknown,Military,Firearms,5,2007-01-02
2007,2,9,Pakistan,Punjab,South Asia,Attock,33.766336,72.357344,Armed Assault,6,2,Activists,Unknown,Private Citizens & Property,Firearms,8,2007-09-02
2007,2,17,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Bombing/Explosion,16,35,A district courtroom,Unknown,Government (General),Explosives,51,
2007,3,19,Pakistan,North-West Frontier Province,South Asia,Tank,32.209442,70.383537,Armed Assault,1,0,Traffic Police Constable Samiullah,Unknown,Police,Firearms,1,
2007,3,30,Pakistan,Khyber Pakhtunkhwa,South Asia,Kohat,33.590603,71.44062,Bombing/Explosion,0,0,Video and Cable providers in Afghanistan,Taliban,Telecommunication,Explosives,0,
2007,4,6,Pakistan,North-West Frontier Province,South Asia,Charsadda,34.145794,71.731461,Bombing/Explosion,0,0,Video Shop,Unknown,Business,Explosives,0,2007-06-04
2007,4,6,Pakistan,Federally Administered Tribal Areas,South Asia,Parachinar,33.897995,70.107536,Armed Assault,10,83,Shi i Muslims,Unknown,Private Citizens & Property,Firearms,93,2007-06-04
2007,4,9,Pakistan,Federally Administered Tribal Areas,South Asia,Darra Adam Khel,33.68745,71.516037,Bombing/Explosion,0,0,Barbershop,Taliban,Business,Explosives,0,2007-09-04
2007,4,28,Pakistan,North-West Frontier Province,South Asia,Charsadda,34.14658,71.743538,Bombing/Explosion,31,50,Aftab Khan Sherpao,Unknown,Government (General),Explosives,81,
2007,4,29,Pakistan,Federally Administered Tribal Areas,South Asia,North Waziristan district,32.899439,70.059778,Armed Assault,4,0,Military post in North Waziristan,Unknown,Military,Firearms,4,
2007,4,29,Pakistan,Federally Administered Tribal Areas,South Asia,Jandola,32.333344,70.128281,Armed Assault,2,0,Civilians in South Waziristan,Unknown,Private Citizens & Property,Firearms,2,
2007,5,15,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,25,0,Any Afghans helping the United States,Taliban (Pakistan),Business,Explosives,25,
2007,5,18,Pakistan,Federally Administered Tribal Areas,South Asia,North Waziristan district,32.926684,69.920086,Hostage Taking (Kidnapping),0,0,Unknown,Taliban (Pakistan),Government (General),Firearms,0,
2007,5,26,Pakistan,North-West Frontier Province,South Asia,Dera Ismail Khan,31.834328,70.90905,Bombing/Explosion,2,7,Pakistani soldiers traveling near Tank,Unknown,Military,Explosives,9,
2007,5,28,Pakistan,North-West Frontier Province,South Asia,Tank,32.209442,70.383537,Bombing/Explosion,3,8,"Convoy near Tank, Pakistan",Taliban (Pakistan),Military,Explosives,11,
2007,5,31,Pakistan,North-West Frontier Province,South Asia,Tank district,32.214179,70.38468,Bombing/Explosion,13,0,"Pir Attique Gilanis home, an influential tribal elder",Unknown,Private Citizens & Property,Explosives,13,
2007,6,1,Pakistan,North-West Frontier Province,South Asia,Bannu,32.987347,70.602524,Bombing/Explosion,0,1,Mohammed Rashid,Unknown,Business,Explosives,1,2007-01-06
2007,6,7,Pakistan,North-West Frontier Province,South Asia,Bannu,32.987347,70.602524,Bombing/Explosion,0,7,Unknown,Unknown,Business,Explosives,7,2007-07-06
2007,6,13,Pakistan,Federally Administered Tribal Areas,South Asia,Mohmand district,34.565494,71.477429,Bombing/Explosion,0,0,Participants in a peace jurga.,Unknown,Private Citizens & Property,Explosives,0,
2007,6,16,Pakistan,North-West Frontier Province,South Asia,Badaber,33.91758,71.562035,Bombing/Explosion,0,2,Music shop,Unknown,Business,Explosives,2,
2007,6,18,Pakistan,Federally Administered Tribal Areas,South Asia,Khar,34.733517,71.519661,Bombing/Explosion,0,4,government official,Unknown,Government (General),Explosives,4,
2007,6,24,Pakistan,North-West Frontier Province,South Asia,Bannu,32.987347,70.602524,Hostage Taking (Kidnapping),1,1,Muslim Public School Surrani,Unknown,Educational Institution,Firearms,2,
2007,7,4,Pakistan,Federally Administered Tribal Areas,South Asia,Mir Ali,32.975433,70.273735,Bombing/Explosion,11,0,Pakistani military convoy traveling near the town of Mir Ali,Unknown,Military,Explosives,11,2007-04-07
2007,7,4,Pakistan,North-West Frontier Province,South Asia,Matta,34.92969,72.416834,Bombing/Explosion,1,4,Pakistani Police Station at Matta in Swat,Unknown,Military,Explosives,5,2007-04-07
2007,7,4,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Hostage Taking (Kidnapping),7,207,Laj Masjid mosque,Muslim extremists,Religious Figures/Institutions,Firearms,214,2007-04-07
2007,7,5,Pakistan,Federally Administered Tribal Areas,South Asia,Landi Kotal,34.110325,71.163803,Bombing/Explosion,0,0,Pakistani Army Camp at Landi Kotal,Unknown,Military,Explosives,0,2007-05-07
2007,7,7,Pakistan,Federally Administered Tribal Areas,South Asia,Bajaur district,34.772356,71.485773,Hostage Taking (Kidnapping),0,0,Four tribal policemen in the Bajuar district of Pakistan,Unknown,Police,Firearms,0,2007-07-07
2007,7,9,Pakistan,North-West Frontier Province,South Asia,Bannu,32.987347,70.602524,Armed Assault,1,3,Police traveling near Mundan near the town of Bannu,Unknown,Police,Firearms,4,2007-09-07
2007,7,10,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Armed Assault,96,35,Laj Masjid mosque,Muslim extremists,Religious Figures/Institutions,Firearms,131,2007-10-07
2007,7,12,Pakistan,North-West Frontier Province,South Asia,Mingora,34.774479,72.364052,Bombing/Explosion,6,0,Pakistani police forces traveling near Mingora,Unknown,Police,Explosives,6,2007-12-07
2007,7,12,Pakistan,North-West Frontier Province,South Asia,Kabal,34.79216,72.284279,Bombing/Explosion,0,3,pakistani police forces traveling near Hazara,Unknown,Police,Explosives,3,2007-12-07
2007,7,12,Pakistan,Federally Administered Tribal Areas,South Asia,Miran Shah,33.006516,70.068253,Bombing/Explosion,3,3,"Office of the Political Agent (PA) Pirzada Khan, the top representative of the federal government in tribal areas, in Miran Shah",Unknown,Government (General),Explosives,6,2007-12-07
2007,7,13,Pakistan,Federally Administered Tribal Areas,South Asia,Miran Shah,33.006516,70.068253,Bombing/Explosion,3,2,Official compound of the administrator in North Waziristan,Unknown,Government (General),Explosives,5,
2007,7,14,Pakistan,Federally Administered Tribal Areas,South Asia,Miran Shah,33.006516,70.068253,Bombing/Explosion,25,26,Military convoy in North Waziristan near the Afghan border,Al-Qaida,Military,Explosives,51,
2007,7,15,Pakistan,North-West Frontier Province,South Asia,Swat district,35.079406,72.428758,Bombing/Explosion,13,20,Military convoy in North West Frontier Province,Unknown,Military,Explosives,33,
2007,7,15,Pakistan,North-West Frontier Province,South Asia,Dera Ismail Khan,31.834328,70.90905,Bombing/Explosion,27,60,Recruiting center in Dera Ismail Khan,Unknown,Police,Explosives,87,
2007,7,16,Pakistan,North-West Frontier Province,South Asia,Matta,34.931154,72.416695,Bombing/Explosion,16,47,Pakistan paramilitary convoy,Unknown,Military,Explosives,63,
2007,7,16,Pakistan,North-West Frontier Province,South Asia,Dera Ismail Khan,31.834328,70.90905,Bombing/Explosion,21,35,"Pakistan police station, new recruits",Unknown,Police,Explosives,56,
2007,7,17,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,17,63,Unknown,Unknown,Private Citizens & Property,Explosives,80,
2007,7,18,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,14,40,Pakistani civilians at a political rally,Unknown,Private Citizens & Property,Explosives,54,
2007,7,18,Pakistan,Federally Administered Tribal Areas,South Asia,North Waziristan district,32.874079,70.027089,Bombing/Explosion,3,0,Pakistani soldiers guarding a road in North Waziristan,Unknown,Military,Explosives,3,
2007,7,20,Pakistan,Balochistan,South Asia,Hub,25.044537,66.874672,Bombing/Explosion,25,20,Marketplace in the town of Hub,Unknown,Private Citizens & Property,Explosives,45,
2007,7,20,Pakistan,Balochistan,South Asia,Hub,25.044537,66.874672,Bombing/Explosion,30,0,"Chinese contractors in Hub, Pakistan",Unknown,Private Citizens & Property,Explosives,30,
2007,7,20,Pakistan,Federally Administered Tribal Areas,South Asia,North Waziristan district,32.874079,70.027089,Bombing/Explosion,4,6,Paramilitary checkpoint in North Waziristan,Unknown,Police,Explosives,10,
2007,7,20,Pakistan,North-West Frontier Province,South Asia,Kohat,33.590603,71.44062,Bombing/Explosion,19,15,Mosque inside the Pathan military training centre,Unknown,Religious Figures/Institutions,Explosives,34,
2007,7,22,Pakistan,Federally Administered Tribal Areas,South Asia,Khar,34.733517,71.519661,Assassination,2,0,Pakistan paramilitary troops at Khan checkpoint,Unknown,Military,Melee,2,
2007,7,25,Pakistan,North-West Frontier Province,South Asia,Bannu,32.987347,70.602524,Bombing/Explosion,9,41,"Pakistani civilians in Bannu, Pakistan",Unknown,Private Citizens & Property,Explosives,50,
2007,7,27,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,12,43,Pakistani police in downtown Islamabad,Unknown,Police,Explosives,55,
2007,7,27,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,15,64,Unknown,Unknown,Police,Explosives,79,
2007,7,30,Pakistan,Federally Administered Tribal Areas,South Asia,Miran Shah,33.006516,70.068253,Bombing/Explosion,3,0,Pakistani paramilitary forces in Miranshah,Unknown,Military,Explosives,3,
2007,8,1,Pakistan,Federally Administered Tribal Areas,South Asia,Miran Shah,33.006516,70.068253,Bombing/Explosion,18,2,Military base in Miran Shah,Taliban (Pakistan),Military,Explosives,20,2007-01-08
2007,8,4,Pakistan,Federally Administered Tribal Areas,South Asia,Miran Shah,33.006516,70.068253,Armed Assault,14,0,Oblanki security check point near Miranshah,Taliban (Pakistan),Military,Explosives,14,2007-04-08
2007,8,4,Pakistan,Federally Administered Tribal Areas,South Asia,Parachinar,33.897995,70.107536,Bombing/Explosion,8,35,Unknown,Taliban (Pakistan),Private Citizens & Property,Explosives,43,2007-04-08
2007,8,12,Pakistan,North-West Frontier Province,South Asia,Swat district,34.767228,72.376782,Bombing/Explosion,4,7,Popular tourist spot in the SWOT district,Unknown,Tourists,Explosives,11,2007-12-08
2007,8,17,Pakistan,North-West Frontier Province,South Asia,Tank,32.209442,70.383537,Bombing/Explosion,1,5,soldiers,Unknown,Military,Explosives,6,
2007,8,24,Pakistan,Federally Administered Tribal Areas,South Asia,Miran Shah,33.006516,70.068253,Bombing/Explosion,5,30,soldiers,Unknown,Military,Explosives,35,
2007,8,30,Pakistan,Federally Administered Tribal Areas,South Asia,South Waziristan district,32.329315,69.856396,Hostage Taking (Kidnapping),0,0,Pakistani Military Convoy,Taliban (Pakistan),Military,Firearms,0,
2007,9,2,Pakistan,Federally Administered Tribal Areas,South Asia,Wana,32.306099,69.579956,Bombing/Explosion,4,6,Metha Khan,Unknown,Government (General),Explosives,10,2007-02-09
2007,9,4,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,18,35,Bus carrying personnel,Al-Qaida,Military,Explosives,53,2007-04-09
2007,9,11,Pakistan,North-West Frontier Province,South Asia,Dera Ismail Khan,31.834328,70.90905,Bombing/Explosion,19,16,Civilians on board the minibus,Unknown,Transportation,Explosives,35,2007-11-09
2007,9,21,Pakistan,North-West Frontier Province,South Asia,Matta,34.92969,72.416834,Assassination,2,0,Afzal Khan Lala,Taliban (Pakistan),Government (General),Firearms,2,
2007,9,24,Pakistan,Federally Administered Tribal Areas,South Asia,South Waziristan district,32.30502,69.888643,Bombing/Explosion,0,1,Unknown,Taliban,Private Citizens & Property,Explosives,1,
2007,9,29,Pakistan,North-West Frontier Province,South Asia,Swat district,35.079406,72.428758,Armed Assault,0,0,Jahanabad Buddha rock scuplture,Tehrik-i-Taliban Pakistan (TTP),Religious Figures/Institutions,Firearms,0,
2007,10,1,Pakistan,North-West Frontier Province,South Asia,Bannu,32.987347,70.602524,Bombing/Explosion,15,20,Officers at checkpoint outside of Bannu.,Unknown,Police,Explosives,35,2007-01-10
2007,10,1,Pakistan,North-West Frontier Province,South Asia,Bannu,32.987347,70.602524,Bombing/Explosion,14,29,Unknown,Unknown,Police,Explosives,43,2007-01-10
2007,10,3,Pakistan,Federally Administered Tribal Areas,South Asia,Mir Ali,32.975433,70.273735,Bombing/Explosion,14,5,Unknown,Unknown,Unknown,Explosives,19,2007-03-10
2007,10,11,Pakistan,North-West Frontier Province,South Asia,Karak,33.111907,71.103194,Bombing/Explosion,0,0,The Mubarik Shah CD Store in Karak.,Unknown,Business,Explosives,0,2007-11-10
2007,10,11,Pakistan,North-West Frontier Province,South Asia,Karak,33.111907,71.103194,Bombing/Explosion,1,0,Civilian barber,Unknown,Business,Explosives,1,2007-11-10
2007,10,11,Pakistan,Federally Administered Tribal Areas,South Asia,Ghalanai,34.320023,71.399002,Hostage Taking (Kidnapping),12,0,Unknown,Taliban (Pakistan),Private Citizens & Property,Firearms,12,2007-11-10
2007,10,19,Pakistan,Federally Administered Tribal Areas,South Asia,Salarzai,34.866207,71.526382,Bombing/Explosion,0,0,A government Girls Middle School in Salarzai.,Unknown,Educational Institution,Explosives,0,
2007,10,20,Pakistan,Balochistan,South Asia,Dera Bugti,29.034412,69.158661,Bombing/Explosion,8,28,Civilians at a mini-bus stop in Dera Bugti.,Baloch Republican Army (BRA),Transportation,Explosives,36,
2007,10,20,Pakistan,Federally Administered Tribal Areas,South Asia,Bajaur district,34.701855,71.436036,Armed Assault,1,0,Maulvi Gul Sher Khan,Jamaat-E-Islami (India/Pakistan),Government (General),Firearms,1,
2007,10,25,Pakistan,North-West Frontier Province,South Asia,Mingora,34.774479,72.364052,Bombing/Explosion,21,34,Truck,Unknown,Police,Explosives,55,
2007,10,26,Pakistan,North-West Frontier Province,South Asia,Matta,34.92969,72.416834,Bombing/Explosion,6,0,Officers shopping at a bazaar in Matta,Taliban (Pakistan),Police,Explosives,6,
2007,10,26,Pakistan,North-West Frontier Province,South Asia,Matta district,35.01646,72.361809,Hostage Taking (Kidnapping),7,0,Civilians in Matta,Taliban (Pakistan),Private Citizens & Property,Explosives,7,
2007,11,1,Pakistan,Punjab,South Asia,Sargodha,32.082884,72.671445,Bombing/Explosion,11,28,Air Force Personnel,Unknown,Military,Explosives,39,2007-01-11
2007,11,1,Pakistan,North-West Frontier Province,South Asia,Charbagh,34.835294,72.441886,Hostage Taking (Barricade Incident),0,0,Charabagh Police Station,Unknown,Police,Firearms,0,2007-01-11
2007,11,2,Pakistan,Balochistan,South Asia,Unknown,28.432014,66.067617,Bombing/Explosion,7,15,Pakistani Civilians using the Road,Unknown,Private Citizens & Property,Explosives,22,2007-02-11
2007,11,3,Pakistan,North-West Frontier Province,South Asia,Matta,34.92969,72.416834,Hostage Taking (Barricade Incident),0,0,Matta post,Taliban (Pakistan),Police,Firearms,0,2007-03-11
2007,11,4,Pakistan,Federally Administered Tribal Areas,South Asia,Parachinar,33.897995,70.107536,Hostage Taking (Kidnapping),0,0,Security Personnel,Unknown,Police,Firearms,0,2007-04-11
2007,11,6,Pakistan,North-West Frontier Province,South Asia,Maidan,34.965592,71.822004,Facility/Infrastructure Attack,0,0,Military Personnel,Tehrik-e-Nafaz-e-Shariat-e-Mohammadi (TNSM),Military,Firearms,0,2007-06-11
2007,11,8,Pakistan,North-West Frontier Province,South Asia,Khwazakhela,34.941242,72.46981,Facility/Infrastructure Attack,0,0,Police,Unknown,Police,Incendiary,0,2007-08-11
2007,11,8,Pakistan,Balochistan,South Asia,Dasht,25.694637,62.492754,Bombing/Explosion,0,1,Train Track,Unknown,Transportation,Explosives,1,2007-08-11
2007,11,9,Pakistan,North-West Frontier Province,South Asia,Kabal,34.79216,72.284279,Bombing/Explosion,2,14,soldiers,Unknown,Military,Explosives,16,2007-09-11
2007,11,10,Pakistan,North-West Frontier Province,South Asia,Bara,33.915234,71.458679,Hostage Taking (Kidnapping),0,0,Chief Organizer: Malik Zahir Shah,Unknown,Violent Political Party,Firearms,0,2007-10-11
2007,11,12,Pakistan,Federally Administered Tribal Areas,South Asia,Miran Shah,33.006516,70.068253,Bombing/Explosion,1,10,Paramilitary Personnel,Unknown,Military,Explosives,11,2007-12-11
2007,11,18,Pakistan,Federally Administered Tribal Areas,South Asia,Parachinar,33.897995,70.107536,Armed Assault,90,150,Sunni and Shi i Muslims,Unknown,Private Citizens & Property,Firearms,240,
2007,11,19,Pakistan,Federally Administered Tribal Areas,South Asia,Sadda,33.703938,70.328651,Bombing/Explosion,10,20,A vegetable market and a random house,Unknown,Private Citizens & Property,Explosives,30,
2007,11,19,Pakistan,Federally Administered Tribal Areas,South Asia,Darra Adam Khel,33.68745,71.516037,Armed Assault,3,0,Exact names  ,Taliban (Pakistan),Private Citizens & Property,Melee,3,
2007,11,23,Pakistan,Federally Administered Tribal Areas,South Asia,Khar,34.733517,71.519661,Bombing/Explosion,0,8,Malik Abdul Aziz,Unknown,Private Citizens & Property,Explosives,8,
2007,11,24,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,18,0,Employees of the agency,Unknown,Government (General),Explosives,18,
